Prefix,DentalSave DS Network,,
006,DS 0.75,,
007,DS 0.75,,
008,DS 0.95,,
009,DS 0.75,,
010,DS 1.05,,
011,DS 1.05,,
012,DS 1,,
013,DS 1,,
014,DS 1.05,,
015,DS 1.05,,
016,DS 1.05,,
017,DS 1.05,,
018,DS 1.05,,
019,DS 1.05,,
020,DS 1.05,,
021,DS 1.1,,
022,DS 1.1,,
023,DS 1.05,,
024,DS 1.05,,
025,DS 1,,
026,DS 1,,
027,DS 1,,
028,DS 1.05,,
029,DS 1.05,,
030,DS 0.95,,
031,DS 1,,
032,DS 0.95,,
033,DS 0.95,,
034,DS 0.95,,
035,DS 0.95,,
036,DS 0.95,,
037,DS 0.95,,
038,DS 0.95,,
039,DS 0.95,,
040,DS 0.95,,
041,DS 1,,
042,DS 0.95,,
043,DS 0.95,,
044,DS 0.95,,
045,DS 0.95,,
046,DS 0.95,,
047,DS 0.95,,
048,DS 0.95,,
049,DS 0.95,,
050,DS 0.9,,
051,DS 0.9,,
052,DS 0.9,,
053,DS 0.9,,
054,DS 0.9,,
055,DS 1.05,,
056,DS 0.9,,
057,DS 0.9,,
058,DS 0.9,,
059,DS 0.9,,
060,DS 1.1,,
061,DS 1.1,,
062,DS 1.1,,
063,DS 1.1,,
064,DS 1.1,,
065,DS 1.1,,
066,DS 1.15,,
067,DS 1.1,,
068,DS 1.2,,
069,DS 1.2,,
070,DS 1.15,,
071,DS 1.15,,
072,DS 1.15,,
073,DS 1.15,,
074,DS 1.15,,
075,DS 1.15,,
076,DS 1.15,,
077,DS 1.15,,
078,DS 1.15,,
079,DS 1.15,,
080,DS 1,,
081,DS 1,,
082,DS 1,,
083,DS 1,,
084,DS 1,,
085,DS 1.05,,
086,DS 1.05,,
087,DS 1.05,,
088,DS 1.15,,
089,DS 1.15,,
100,DS 1.35,,
101,DS 1.35,,
102,DS 1.35,,
103,DS 1.25,,
104,DS 1.25,,
105,DS 1.25,,
106,DS 1.25,,
107,DS 1.25,,
108,DS 1.25,,
109,DS 1.15,,
110,DS 1.25,,
111,DS 1.25,,
112,DS 1.25,,
113,DS 1.25,,
114,DS 1.25,,
115,DS 1.25,,
116,DS 1.25,,
117,DS 1.2,,
118,DS 1.25,,
119,DS 1.2,,
120,DS 0.95,,
121,DS 0.95,,
122,DS 0.95,,
123,DS 0.95,,
124,DS 1.05,,
125,DS 1.05,,
126,DS 1.05,,
127,DS 1.05,,
128,DS 0.95,,
129,DS 0.95,,
130,DS 0.95,,
131,DS 0.95,,
132,DS 0.95,,
133,DS 0.95,,
134,DS 0.95,,
135,DS 0.95,,
136,DS 0.95,,
137,DS 0.95,,
138,DS 0.95,,
139,DS 0.95,,
140,DS 0.95,,
141,DS 0.95,,
142,DS 0.95,,
143,DS 0.95,,
144,DS 0.95,,
145,DS 0.95,,
146,DS 1,,
147,DS 0.95,,
148,DS 0.95,,
149,DS 0.95,,
150,DS 1,,
151,DS 1,,
152,DS 1,,
153,DS 0.9,,
154,DS 0.9,,
155,DS 0.9,,
156,DS 1,,
157,DS 0.9,,
158,DS 0.9,,
159,DS 0.9,,
160,DS 0.9,,
161,DS 0.9,,
162,DS 0.9,,
163,DS 0.9,,
164,DS 0.95,,
165,DS 1,,
166,DS 0.9,,
167,DS 0.9,,
168,DS 0.9,,
169,DS 0.9,,
170,DS 0.9,,
171,DS 0.9,,
172,DS 0.9,,
173,DS 0.9,,
174,DS 0.9,,
175,DS 0.9,,
176,DS 0.9,,
177,DS 0.95,,
178,DS 0.9,,
179,DS 0.9,,
180,DS 1,,
181,DS 1,,
182,DS 0.9,,
183,DS 0.95,,
184,DS 0.95,,
185,DS 1,,
186,DS 0.9,,
187,DS 0.9,,
188,DS 0.9,,
189,DS 1.05,,
190,DS 1.05,,
191,DS 1.1,,
