CDT CODE,, Usual Fees ,,,,,,,,,,,DentalSave Fees,,,,,,,,,,
,,DS 0.80,DS 0.85,DS 0.90,DS 0.95,DS 1.00,DS 1.05,DS 1.10,DS 1.15,DS 1.20,DS 1.25,DS 1.30,DS 0.80,DS 0.85,DS 0.90,DS 0.95,DS 1.00,DS 1.05,DS 1.10,DS 1.15,DS 1.20,DS 1.25,DS 1.30
Diagnostic  Procedures ,,,,,,,,,,,,,,,,,,,,,,,
D0120,periodic oral evaluation established patient, $41.60 , $44.20 , $46.80 , $49.40 , $52.00 , $54.60 , $57.20 , $59.80 , $62.40 , $65.00 , $67.60 , $23.00 , $24.50 , $25.50 , $27.00 , $28.50 , $30.00 , $31.50 , $33.00 , $34.50 , $36.00 , $37.00 
D0140,limited oral evaluation problem focused, $60.80 , $64.60 , $68.40 , $72.20 , $76.00 , $79.80 , $83.60 , $87.40 , $91.20 , $95.00 , $98.80 , $33.50 , $35.50 , $37.50 , $39.50 , $42.00 , $44.00 , $46.00 , $48.00 , $50.00 , $52.50 , $54.50 
D0150,comprehensive oral evaluation new or established patient, $72.00 , $76.50 , $81.00 , $85.50 , $90.00 , $94.50 , $99.00 , $103.50 , $108.00 , $112.50 , $117.00 , $39.50 , $42.00 , $44.50 , $47.00 , $49.50 , $52.00 , $54.50 , $57.00 , $59.50 , $62.00 , $64.50 
D0210,x-rays: intraoral complete series (including bitewings), $109.60 , $116.45 , $123.30 , $130.15 , $137.00 , $143.85 , $150.70 , $157.55 , $164.40 , $171.25 , $178.10 , $60.50 , $64.00 , $68.00 , $71.50 , $75.50 , $79.00 , $83.00 , $86.50 , $90.50 , $94.00 , $98.00 
D0220,x-rays: intraoral periapical - first film, $24.00 , $25.50 , $27.00 , $28.50 , $30.00 , $31.50 , $33.00 , $34.50 , $36.00 , $37.50 , $39.00 , $13.00 , $14.00 , $15.00 , $15.50 , $16.50 , $17.50 , $18.00 , $19.00 , $20.00 , $20.50 , $21.50 
D0230,x-rays: intraoral periapical - each additional film, $20.80 , $22.10 , $23.40 , $24.70 , $26.00 , $27.30 , $28.60 , $29.90 , $31.20 , $32.50 , $33.80 , $11.50 , $12.00 , $13.00 , $13.50 , $14.50 , $15.00 , $15.50 , $16.50 , $17.00 , $18.00 , $18.50 
D0270,x-rays: bitewing - single film, $24.00 , $25.50 , $27.00 , $28.50 , $30.00 , $31.50 , $33.00 , $34.50 , $36.00 , $37.50 , $39.00 , $13.00 , $14.00 , $15.00 , $15.50 , $16.50 , $17.50 , $18.00 , $19.00 , $20.00 , $20.50 , $21.50 
D0272,x-rays: bitewing - two films, $36.80 , $39.10 , $41.40 , $43.70 , $46.00 , $48.30 , $50.60 , $52.90 , $55.20 , $57.50 , $59.80 , $20.00 , $21.50 , $23.00 , $24.00 , $25.50 , $26.50 , $28.00 , $29.00 , $30.50 , $31.50 , $33.00 
D0273,x-rays: bitewing - three films, $44.80 , $47.60 , $50.40 , $53.20 , $56.00 , $58.80 , $61.60 , $64.40 , $67.20 , $70.00 , $72.80 , $24.50 , $26.00 , $27.50 , $29.50 , $31.00 , $32.50 , $34.00 , $35.50 , $37.00 , $38.50 , $40.00 
D0274,x-rays: bitewing - four films, $53.60 , $56.95 , $60.30 , $63.65 , $67.00 , $70.35 , $73.70 , $77.05 , $80.40 , $83.75 , $87.10 , $29.50 , $31.50 , $33.00 , $35.00 , $37.00 , $38.50 , $40.50 , $42.50 , $44.00 , $46.00 , $48.00 
D0330,x-rays: panoramic film, $92.00 , $97.75 , $103.50 , $109.25 , $115.00 , $120.75 , $126.50 , $132.25 , $138.00 , $143.75 , $149.50 , $50.50 , $54.00 , $57.00 , $60.00 , $63.50 , $66.50 , $69.50 , $72.50 , $76.00 , $79.00 , $82.00 
Preventive Procedures ,,,,,,,,,,,,,,,,,,,,,,,
D1110,prophylaxis adult (cleaning), $74.40 , $79.05 , $83.70 , $88.35 , $93.00 , $97.65 , $102.30 , $106.95 , $111.60 , $116.25 , $120.90 , $41.00 , $43.50 , $46.00 , $48.50 , $51.00 , $53.50 , $56.50 , $59.00 , $61.50 , $64.00 , $66.50 
D1120,prophylaxis child (cleaning), $56.00 , $59.50 , $63.00 , $66.50 , $70.00 , $73.50 , $77.00 , $80.50 , $84.00 , $87.50 , $91.00 , $31.00 , $32.50 , $34.50 , $36.50 , $38.50 , $40.50 , $42.50 , $44.50 , $46.00 , $48.00 , $50.00 
D1208,topical application of fluoride - excluding varnish, $30.40 , $32.30 , $34.20 , $36.10 , $38.00 , $39.90 , $41.80 , $43.70 , $45.60 , $47.50 , $49.40 , $16.50 , $18.00 , $19.00 , $20.00 , $21.00 , $22.00 , $23.00 , $24.00 , $25.00 , $26.00 , $27.00 
D1351,sealant  - per tooth, $44.80 , $47.60 , $50.40 , $53.20 , $56.00 , $58.80 , $61.60 , $64.40 , $67.20 , $70.00 , $72.80 , $24.50 , $26.00 , $27.50 , $29.50 , $31.00 , $32.50 , $34.00 , $35.50 , $37.00 , $38.50 , $40.00 
D1510,space maintainer fixed unilateral, $256.00 , $272.00 , $288.00 , $304.00 , $320.00 , $336.00 , $352.00 , $368.00 , $384.00 , $400.00 , $416.00 , $141.00 , $149.50 , $158.50 , $167.00 , $176.00 , $185.00 , $193.50 , $202.50 , $211.00 , $220.00 , $229.00 
D1515,space maintainer fixed bilateral, $344.80 , $366.35 , $387.90 , $409.45 , $431.00 , $452.55 , $474.10 , $495.65 , $517.20 , $538.75 , $560.30 , $189.50 , $201.50 , $213.50 , $225.00 , $237.00 , $249.00 , $261.00 , $272.50 , $284.50 , $296.50 , $308.00 
Restorative Procedures,,,,,,,,,,,,,,,,,,,,,,,
D2140,"almalgam - one surface, primary or permanent (filling)", $116.80 , $124.10 , $131.40 , $138.70 , $146.00 , $153.30 , $160.60 , $167.90 , $175.20 , $182.50 , $189.80 , $64.00 , $68.50 , $72.50 , $76.50 , $80.50 , $84.50 , $88.50 , $92.50 , $96.50 , $100.50 , $104.50 
D2150,"almalgam - two surfaces, primary or permanent (filling)", $144.00 , $153.00 , $162.00 , $171.00 , $180.00 , $189.00 , $198.00 , $207.00 , $216.00 , $225.00 , $234.00 , $79.00 , $84.00 , $89.00 , $94.00 , $99.00 , $104.00 , $109.00 , $114.00 , $119.00 , $124.00 , $128.50 
